OID_,Region,GMUvalue,Unit,UnitSub,Major,MinorSpecific,UCU,GeoDetail,sqmiwater,Shape_Length,Shape_Area
1,1,1,01,01A,X01,0101,01AX010101,6,8.6937885,69939.174283322878182,22516809.317047644406557
2,1,1,01,01A,X01,0102,01AX010102,6,41.3326149,54716.708829268311092,107050983.117187500000000
3,1,1,01,01A,X01,0103,01AX010103,6,42.6846123,72854.152200489144889,110552640.988281250000000
4,1,1,01,01A,X01,0104,01AX010104,6,40.3006248,105294.681035968897049,104378143.683593750000000
5,1,1,01,01A,X01,0105,01AX010105,6,12.0409031,34149.911090446061280,31185796.828125000000000
6,1,1,01,01A,X01,0106,01AX010106,6,11.0013084,39873.981822630506940,28493258.421875000000000
7,1,1,01,01A,X02,0201,01AX020201,6,56.1499062,166004.558079911803361,145427592.457031250000000
8,1,1,01,01A,X02,0202,01AX020202,6,90.6324615,236332.712816001905594,234737006.035156250000000
9,1,1,01,01A,X03,0301,01AX030301,6,45.0049286,135420.388162214920158,116562229.707031250000000
10,1,1,01,01A,X03,0302,01AX030302,6,275.7025757,428791.828339789353777,714066370.502350449562073
11,1,1,01,01A,X03,0303,01AX030303,6,76.4897614,122958.924571821509744,198107563.726562500000000
12,1,1,01,01A,X04,0401,01AX040401,6,14.6138191,57813.325241230784741,37849617.128906250000000
13,1,1,01,01A,X04,0402,01AX040402,6,7.0897436,32873.307244817246101,18362351.085937500000000
14,1,1,01,01A,X04,0403,01AX040403,6,22.7143173,71199.280977371745394,58829811.933593750000000
15,1,1,01,01A,X04,0404,01AX040404,6,8.7684326,29889.304332516654540,22710136.656250000000000
16,1,1,01,01A,X04,0405,01AX040405,6,5.0807338,18896.980980269920110,13159039.972656250000000
17,1,1,01,01A,X04,0406,01AX040406,6,7.9742041,41019.338632035469345,20653093.597656250000000
18,1,1,01,01A,X04,0407,01AX040407,6,6.0631509,31226.736935977907706,15703489.308593750000000
19,1,1,01,01A,X04,0408,01AX040408,6,0.1096181,2439.093420453619729,283909.640625000000000
20,1,1,01,01A,X04,0409,01AX040409,6,1.5967072,10335.793305763512762,4135452.621093750000000
21,1,1,01,01A,X04,0410,01AX040410,6,7.1680808,25512.265705757443357,18565243.714843750000000
22,1,1,01,01A,X04,0411,01AX040411,6,6.0200553,17167.240956103192730,15591871.460937500000000
23,1,1,01,01A,X04,0501,01AX040501,6,12.5117455,48685.729342730708595,32405271.800781250000000
24,1,1,01,01A,X04,0502,01AX040502,6,4.5150266,33372.215841837278276,11693865.609375000000000
25,1,1,01,01A,X04,0503,01AX040503,6,8.9714384,28844.135168671873544,23235917.933593750000000
26,1,1,01,01A,X04,0504,01AX040504,6,2.7830431,13609.859029512499546,7208048.488281250000000
27,1,1,01,01A,X04,0505,01AX040505,6,7.7715750,42075.990959790717170,20128286.589843750000000
28,1,1,01,01A,X04,0601,01AX040601,6,18.3334064,96896.553721354968729,47483303.164070099592209
29,1,1,01,01A,X04,0602,01AX040602,6,11.9140539,78000.706709475954995,30857257.480468750000000
30,1,1,01,01A,X04,0603,01AX040603,6,8.0620899,45046.242023386192159,20880717.410156250000000
31,1,1,01,01A,X04,0604,01AX040604,6,0.0437557,2133.253778359022363,113326.734375000000000
32,1,1,01,01A,X04,0605,01AX040605,6,1.0689718,11581.264218091664588,2768624.178854585159570
33,1,1,01,01A,X04,0702,01AX040702,6,11.3041286,62982.834738007273700,29277559.392856430262327
34,1,1,01,01A,X04,0703,01AX040703,6,2.7897546,43079.239934033153986,7225431.115323213860393
35,1,1,01,01A,X04,0801,01AX040801,6,4.4060521,25734.229499064342235,11411622.494063071906567
36,1,1,01,01A,X04,0802,01AX040802,6,7.0652161,61196.534453670385119,18298825.291106533259153
37,1,1,01,01A,X04,0803,01AX040803,6,2.9703743,20255.921639605949167,7693234.233834796585143
38,1,1,01,01A,X05,0901,01AX050901,6,9.0439062,52959.505568932923779,23423609.478724304586649
39,1,1,01,01A,X05,0902,01AX050902,6,48.2228851,116364.849426389046130,124896695.878906250000000
40,1,1,01,01A,X05,0903,01AX050903,6,2.5495999,28346.776121701983357,6603433.302018750458956
41,1,1,01,01A,X05,0904,01AX050904,6,16.2306309,35767.918299164884957,42037140.602543734014034
42,1,1,01,01A,X05,0905,01AX050905,6,1.2408787,11795.058670810447438,3213860.934212505817413
43,1,1,01,01A,X05,0906,01AX050906,6,0.3430048,6405.478616067344774,888378.229038699646480
44,1,1,01,01A,X05,1004,01AX051004,6,11.5162573,50045.338230891837156,29826968.253547608852386
45,1,1,01,01A,X05,1005,01AX051005,6,1.6380150,19760.306182344520494,4242439.554240636527538
46,1,1,01,01A,X05,1006,01AX051006,6,17.5737076,57344.992213590579922,45515695.597683355212212
47,1,1,01,01A,X05,1007,01AX051007,6,4.6260715,29891.698841898076353,11981470.273262491449714
48,1,1,01,01A,X05,1008,01AX051008,6,18.3055153,86500.714576997474069,47411066.992906242609024
49,1,1,01,01A,X05,1009,01AX051009,6,4.4225450,38803.588245009894308,11454339.157281974330544
50,1,1,01,01A,X05,1011,01AX051011,6,7.0781803,54262.552758447891392,18332403.324218750000000
51,1,1,01,01A,X05,1101,01AX051101,6,5.5415187,28127.949250812267564,14352467.167968750000000
52,1,1,01,01A,X05,1102,01AX051102,6,7.3016739,31742.918529252870940,18911248.886718750000000
53,1,1,01,01A,X05,1103,01AX051103,6,4.6068921,29668.531669905580202,11931796.382812500000000
54,1,1,01,01A,X06,1201,01AX061201,6,18.1164780,55934.857298797178373,46921462.013548366725445
55,1,1,01,01A,X06,1202,01AX061202,6,11.1241474,37626.989295501065499,28811408.376364357769489
56,1,1,01,01A,X06,1203,01AX061203,6,10.4639673,38467.566511803299363,27101550.434536114335060
57,1,1,01,01A,X06,1204,01AX061204,6,12.6334038,29881.487191332293150,32720366.399962663650513
58,1,1,01,01A,X06,1301,01AX061301,6,15.0638170,60572.819232940601069,39015107.356133446097374
59,1,1,01,01A,X06,1302,01AX061302,6,11.1215544,42356.079818976395472,28804694.579492416232824
60,1,1,01,01A,X06,1303,01AX061303,6,9.2265730,25692.899362015872612,23896713.251392174512148
61,1,1,01,01A,X06,1304,01AX061304,6,27.8883438,51746.914698394990410,72230479.610665932297707
62,1,1,01,01A,X06,1401,01AX061401,6,13.8753309,27764.592673464940162,35936941.672841243445873
63,1,1,01,01A,X06,1402,01AX061402,6,3.3437061,13592.302922452727216,8660158.953788010403514
64,1,1,01,01A,X06,1403,01AX061403,6,29.7621899,53274.981420095333306,77083718.582606986165047
65,1,1,01,01A,X07,1501,01AX071501,6,2.9114003,27393.684838222910912,7540492.324218750000000
66,1,1,01,01A,X07,1502,01AX071502,6,4.3112063,39129.092068425969046,11165973.371093750000000
67,1,1,01,01A,X07,1504,01AX071504,6,1.2717924,14363.569783507198736,3293927.359375000000000
68,1,1,01,01A,X07,1505,01AX071505,6,2.5216060,19863.525338519219076,6530929.489018436521292
69,1,1,01,01A,X07,1506,01AX071506,6,3.2424412,39506.874786193897307,8397883.889389881864190
70,1,1,01,01A,X07,1601,01AX071601,6,4.1429644,25327.114845293828694,10730227.843750000000000
71,1,1,01,01A,X07,1602,01AX071602,6,4.8297939,27148.402035653882194,12509108.308593750000000
72,1,1,01,01A,X07,1604,01AX071604,6,9.2966633,50512.386305353771604,24078247.742187500000000
73,1,1,01,01A,X07,1605,01AX071605,6,0.5247620,7646.758334624628333,1359127.484375000000000
74,1,1,01,01A,X07,1606,01AX071606,6,2.4460957,41993.683083055570023,6335358.976562500000000
75,1,1,01,01A,X07,1701,01AX071701,6,3.8077235,20262.149057241127593,9861958.414062500000000
76,1,1,01,01A,X07,1702,01AX071702,6,19.8345070,66047.444691804252216,51371137.496093750000000
77,1,1,01,01A,X07,1901,01AX071901,6,14.5096779,47185.708797432445863,37579893.757812500000000
78,1,1,01,01A,X07,1902,01AX071902,6,5.0231862,37184.376979353190109,13009992.558593750000000
79,1,1,01,01A,X07,1903,01AX071903,6,2.8397727,32027.783811426808825,7354977.511718750000000
80,1,1,01,01A,X07,1904,01AX071904,6,0.0211223,1472.372533775048169,54706.582031250000000
81,1,1,01,01A,X07,1905,01AX071905,6,3.5669975,37858.996725970566331,9238481.003906250000000
82,1,1,01,01A,X07,1906,01AX071906,6,4.0422339,36780.922204971197061,10469337.410156250000000
83,1,1,01,01A,X07,1907,01AX071907,6,13.7428236,32105.902087550126453,35593749.195312500000000
84,1,1,01,01A,X07,1908,01AX071908,6,9.7883205,52580.164696179002931,25351634.464843750000000
85,1,1,01,01A,X08,2001,01AX082001,6,8.4438705,38632.513282889660331,21869524.722656250000000
86,1,1,01,01A,X08,2002,01AX082002,6,1.2412237,13135.145536306723443,3214754.742187500000000
87,1,1,01,01A,X08,2003,01AX082003,6,3.7699938,23509.999253272861097,9764239.261718750000000
88,1,1,01,01A,X08,2004,01AX082004,6,0.9627015,8747.555327109346763,2493385.417968750000000
89,1,1,01,01A,X08,2005,01AX082005,6,2.2433553,15891.958531247284554,5810263.179687500000000
90,1,1,01,01A,X08,2006,01AX082006,6,2.1063156,19162.953163448961277,5455332.125000000000000
91,1,1,01,01A,X08,2007,01AX082007,6,7.0568786,33688.463322842420894,18277231.597656250000000
92,1,1,01,01A,X08,2008,01AX082008,6,6.2995276,21723.660236555799202,16315702.050781250000000
93,1,1,01,01A,X08,2201,01AX082201,6,25.7449932,65324.425945154733199,66679225.417968750000000
94,1,1,01,01A,X08,2202,01AX082202,6,8.5175619,32738.424313177296426,22060383.273437500000000
95,1,1,01,01A,X08,2203,01AX082203,6,3.7412045,19121.848260547569225,9689675.281250000000000
96,1,1,01,01A,X08,2204,01AX082204,6,1.4037435,23217.113141389741941,3635679.011718750000000
97,1,1,01,01A,X08,2206,01AX082206,6,13.3741322,74409.015417563161463,34638843.105468750000000
98,1,1,01,01A,X08,2208,01AX082208,6,0.2651623,3717.313291777912127,686767.082031250000000
99,1,1,01,01A,X08,2210,01AX082210,6,4.4133101,33421.045778789426549,11430419.988281250000000
100,1,1,01,01A,X08,2211,01AX082211,6,0.3817288,4296.287723179048044,988673.093750000000000
101,1,1,01,01A,X08,2213,01AX082213,6,2.3142662,22682.515312700928916,5993921.726562500000000
102,1,1,01,01A,X08,2214,01AX082214,6,8.7665520,44421.590907943194907,22705264.246093750000000
103,1,1,01,01A,X08,2215,01AX082215,6,9.0159693,99852.714751641891780,23351252.074218750000000
104,1,1,01,01A,X08,2216,01AX082216,6,42.5475693,102745.076527701239684,110197696.730468750000000
105,1,1,01,01A,X08,2301,01AX082301,6,54.2094955,116652.319331305508967,140401945.277343750000000
106,1,1,01,01A,X08,2302,01AX082302,6,6.0964284,37574.342614760964352,15789676.441406250000000
107,1,1,01,01A,X08,2303,01AX082303,6,51.7615051,102251.922446348617086,134061687.585937500000000
108,1,1,01,01A,X08,2304,01AX082304,6,13.5589399,131799.498802626447286,35117493.820312500000000
109,1,1,01,01A,X08,2305,01AX082305,6,6.5238171,73149.620999919134192,16896608.683593750000000
110,1,1,01,01A,X08,2306,01AX082306,6,1.5155580,15089.950034084646177,3925277.328125000000000
111,1,1,01,01A,X08,2307,01AX082307,6,8.2764568,112252.594534664822277,21435925.574218750000000
112,1,1,01,01A,X08,2308,01AX082308,6,1.7685878,29653.326086242024758,4580621.410156250000000
113,1,1,01,01A,X08,2309,01AX082309,6,3.0279274,41742.220708260319952,7842295.757812500000000
114,1,1,01,01A,X08,2310,01AX082310,6,3.3850639,29117.074423050948099,8767275.214843750000000
115,1,1,01,01A,X08,2312,01AX082312,6,4.8279409,31164.575325080735638,12504309.218750000000000
116,1,1,01,01A,X08,2401,01AX082401,6,2.6539226,13050.164230981290530,6873627.761718750000000
117,1,1,01,01A,X08,2402,01AX082402,6,3.5064962,20830.700054490400362,9081783.640625000000000
118,1,1,01,01A,X08,2403,01AX082403,6,2.9019301,19732.867513096625771,7515964.230468750000000
119,1,1,01,01A,X08,2404,01AX082404,6,3.7810612,29753.936600006712979,9792903.425781250000000
120,1,1,01,01A,X08,2406,01AX082406,6,6.0476789,28050.895288258059736,15663416.062500000000000
