OID_,Region,GMUvalue,GMUlabel,Unit,SqMi,Shape_Length,Shape_Area,sqmi_open
1,1,1,1,01,22684.956892509999307,11703315.466013796627522,38713015132.002960205078125,14947
2,1,2,2,02,6542.933836754020376,8573397.314721696078777,7682975266.680105209350586,2966
3,1,3,3,03,5536.982171590960206,5305697.081238809973001,7260072325.248082160949707,2803
4,1,4,4,04,9714.994546317939239,7931383.381620763801038,14227606740.716886520385742,5493
5,1,5,5,05,7130.798162362770199,3692617.443759324960411,5582075407.302388191223145,2155
6,2,6,6,06,15718.414763316799508,9679797.875318255275488,23222440098.191993713378906,8966
7,2,7,7,07,4514.759118324440351,2431169.648707823827863,6037457456.290445327758789,2331
8,2,8,8,08,9388.932173171429895,7538948.691059827804565,9950925798.200998306274414,3842
9,2,14,14,14,2169.900180791610182,4682115.946980850771070,4549415596.284459114074707,1757
10,2,15,15,15,7275.397367611870322,8620116.375752938911319,10250527409.023185729980469,3958
11,3,12,12,12,9988.841372857850729,6282029.646387216635048,8909252318.482501983642578,3440
12,3,19,19,19,36484.268560826501925,10746340.630153339356184,77248524589.585464477539063,29826
13,3,20,20,20,50326.817339283399633,22654938.120769426226616,98477044715.571090698242188,38022
14,3,21,21,21,43872.736608530300146,15485117.811957070603967,101232943494.163757324218750,39086
15,3,24,24,24,26069.404710573599004,9600368.559823822230101,45837647699.957695007324219,17698
16,3,25,25,25,53220.302468143599981,17857158.676879994571209,114307915444.718978881835938,44135
17,3,26,26,26,27329.514629745299317,3882370.437579546123743,63430568653.909423828125000,24491
18,4,9,9,09,47101.264224886399461,22775224.076875973492861,52751437510.403282165527344,20367
19,4,10,10,10,17419.695429448798677,8463929.407211516052485,13434060447.060733795166016,5187
20,4,11,11,11,12371.009446274600123,4931163.768552943132818,1776409946.491318702697754,686
21,4,13,13,13,23378.282010584200179,8982012.614701993763447,51428762124.992080688476563,19857
22,4,14,14,14,4821.854580865319804,9018234.365359051153064,10521233818.273017883300781,4062
23,4,16,16,16,12961.441606636899451,6229699.638796841725707,22785434165.183300018310547,8798
24,4,17,17,17,20349.061085361900041,7760553.200668282806873,37849749817.947364807128906,14614
25,5,18,18,18,45454.012290717502765,46250987.886148378252983,82140382153.686859130859375,31715
26,5,22,22,22,31499.505846502899658,18532104.405313909053802,42024378351.996192932128906,16226
27,5,23,23,23,47099.307745264501136,27642948.645104221999645,55153400480.025260925292969,21295
28,5,26,26,26,56210.493524537800113,15440979.331502763554454,111754535947.935867309570313,43149
