"GMU","Total","Marine","Land","State Closed Areas","Alaska Native Allotment","Alaska Native Lands Patented or Interim Conveyed","National Park Service","Private","LandNotOpen","LandOpen","LandOpenPercent"
1,14518374.4,2737548.8,11780819.2,78355.2,7731.2,80755.2,2037939.2,50208,2254988.8,9525830.4,80.86
2,4187475.2,1877286.4,2310188.8,0,620.8,389996.8,0,21068.8,411686.4,1898502.4,82.18
3,3543667.2,1652249.6,1891417.6,32358.4,326.4,57286.4,0,7948.8,97913.6,1793504,94.82
4,6217593.6,2516051.2,3701542.4,93657.6,2732.8,82611.2,6.4,6822.4,185824,3515718.4,94.98
5,4563712,709907.2,3853804.8,0,1753.6,92582.4,2379385.6,729.6,2474444.8,1379360,35.79
6,10059782.4,3484928,6574860.8,0,569.6,359462.4,462656,13785.6,836467.2,5738387.2,87.28
7,2889446.4,675660.8,2213785.6,53670.4,160,67814.4,590854.4,9401.6,721900.8,1491884.8,67.39
8,6008915.2,2809120,3199795.2,0,7699.2,717068.8,0,16102.4,740870.4,2458924.8,76.85
9,30144806.4,7880396.8,22264409.6,301497.6,54860.8,2564979.2,6292339.2,15571.2,9229248,13035161.6,58.55
10,11148608,7154790.4,3993817.6,0,1920,670809.6,0,1459.2,674188.8,3319628.8,83.12
11,7917446.4,0,7917446.4,0,2662.4,673497.6,6788979.2,13344,7478483.2,438963.2,5.54
12,6392857.6,0,6392857.6,0,15852.8,1116262.4,3041510.4,17715.2,4191334.4,2201523.2,34.44
13,14962099.2,0,14962099.2,41126.4,24992,1155219.2,924326.4,108108.8,2253779.2,12708326.4,84.94
14,4474720,227008,4247712,0,2073.6,151212.8,0,370387.2,523673.6,3724038.4,87.67
15,4656256,1458764.8,3197491.2,3385.6,12486.4,416851.2,5132.8,226681.6,664531.2,2532960,79.22
16,8295321.6,476332.8,7818988.8,0,2438.4,276185.6,1820128,89836.8,2188588.8,5630406.4,72.01
17,13023398.4,1024300.8,11999097.6,974803.2,66771.2,1212121.6,383609.6,8915.2,2646220.8,9352876.8,77.95
18,29090566.4,3145798.4,25944768,0,331168,5307929.6,0,8339.2,5647436.8,20297331.2,78.23
19,23349932.8,0,23349932.8,1394860.8,19993.6,1755596.8,1057075.2,33881.6,4261408,19088524.8,81.75
20,32209164.8,0,32209164.8,9280,45446.4,2503193.6,4848160,469344,7875424,24333740.8,75.55
21,28078553.6,0,28078553.6,0,80992,2973152,0,9196.8,3063347.2,25015206.4,89.09
22,20159686.4,3985580.8,16174105.6,0,86144,3779200,1909075.2,15238.4,5789651.2,10384448,64.2
23,30143558.4,2368390.4,27775168,0,153548.8,2536825.6,11448883.2,7200,14146464,13628704,49.07
24,16684416,0,16684416,0,25945.6,1701580.8,3627859.2,2304,5357689.6,11326726.4,67.89
25,34060992,0,34060992,0,56531.2,4984544,746688,27129.6,5814892.8,28246099.2,82.93
26,53465606.4,2950566.4,50515040,279520,37913.6,4384339.2,2523104,985.6,7225856,43289184,85.7
