"GMU","Total","Marine","Land","State Closed Areas","Alaska Native Allotment","Alaska Native Lands Patented or Interim Conveyed","National Park Service","Private","LandNotOpen","LandOpen","LandOpenPercent"
1,22684.96,4277.42,18407.53,122.43,12.08,126.18,3184.28,78.45,3523.42,14884.11,80.86
2,6542.93,2933.26,3609.67,0,0.97,609.37,0,32.92,643.26,2966.41,82.18
3,5536.98,2581.64,2955.34,50.56,0.51,89.51,0,12.42,152.99,2802.35,94.82
4,9714.99,3931.33,5783.66,146.34,4.27,129.08,0.01,10.66,290.35,5493.31,94.98
5,7130.8,1109.23,6021.57,0,2.74,144.66,3717.79,1.14,3866.32,2155.25,35.79
6,15718.41,5445.2,10273.22,0,0.89,561.66,722.9,21.54,1306.98,8966.23,87.28
7,4514.76,1055.72,3459.04,83.86,0.25,105.96,923.21,14.69,1127.97,2331.07,67.39
8,9388.93,4389.25,4999.68,0,12.03,1120.42,0,25.16,1157.61,3842.07,76.85
9,47101.26,12313.12,34788.14,471.09,85.72,4007.78,9831.78,24.33,14420.7,20367.44,58.55
10,17419.7,11179.36,6240.34,0,3,1048.14,0,2.28,1053.42,5186.92,83.12
11,12371.01,0,12371.01,0,4.16,1052.34,10607.78,20.85,11685.13,685.88,5.54
12,9988.84,0,9988.84,0,24.77,1744.16,4752.36,27.68,6548.96,3439.88,34.44
13,23378.28,0,23378.28,64.26,39.05,1805.03,1444.26,168.92,3521.53,19856.76,84.94
14,6991.75,354.7,6637.05,0,3.24,236.27,0,578.73,818.24,5818.81,87.67
15,7275.4,2279.32,4996.08,5.29,19.51,651.33,8.02,354.19,1038.33,3957.75,79.22
16,12961.44,744.27,12217.17,0,3.81,431.54,2843.95,140.37,3419.67,8797.51,72.01
17,20349.06,1600.47,18748.59,1523.13,104.33,1893.94,599.39,13.93,4134.72,14613.87,77.95
18,45454.01,4915.31,40538.7,0,517.45,8293.64,0,13.03,8824.12,31714.58,78.23
19,36484.27,0,36484.27,2179.47,31.24,2743.12,1651.68,52.94,6658.45,29825.82,81.75
20,50326.82,0,50326.82,14.5,71.01,3911.24,7575.25,733.35,12305.35,38021.47,75.55
21,43872.74,0,43872.74,0,126.55,4645.55,0,14.37,4786.48,39086.26,89.09
22,31499.51,6227.47,25272.04,0,134.6,5905,2982.93,23.81,9046.33,16225.7,64.2
23,47099.31,3700.61,43398.7,0,239.92,3963.79,17888.88,11.25,22103.85,21294.85,49.07
24,26069.4,0,26069.4,0,40.54,2658.72,5668.53,3.6,8371.39,17698.01,67.89
25,53220.3,0,53220.3,0,88.33,7788.35,1166.7,42.39,9085.77,44134.53,82.93
26,83540.01,4610.26,78929.75,436.75,59.24,6850.53,3942.35,1.54,11290.4,67639.35,85.7
